Column1;Column2;;Number of tweets;Number of persons who have tweeted this many times
@GlennCarr6;6;;;
@Global_Witness;1;;;
@GloppersT;1;;;
@GoGorham;1;;;
@Gobetse_M;1;;;
@GodBlesAmer1ca;1;;;
@GodlessLiz;1;;;
@GoonerReverend;1;;;
@GovAbbott;1;;;
@GovJVentura;1;;;
@GovKathyHochul;5;;;
@GovRonDeSantis;2;;;
@Govbgone;1;;;
"@Graham__Hancock""";1;;;
@GrammyC4Zone;2;;;
@GratiaMe45;1;;;
@GreekFire23;1;;;
@GreenPeterU;2;;;
@Greenpeace;3;;;
@GreenpeaceUK;2;;;
@GregAbbott_TX;5;;;
@GregInGoodCo;1;;;
@Gregnus_2022;1;;;
"@GretaThunberg""";8;;;
@GretaThunberg;391;;;
@GretaThunberg;1;;;
"@GretaThunberg?""";1;;;
@GretaThunberg?;1;;;
@Gthompson111_Bo;1;;;
@GuntherEagleman;1;;;
@Guy2Plain;1;;;
@GySgt_T;1;;;
@HHoguera;2;;;
@HLN_BE;1;;;
@HMS_Indomitable;6;;;
@HSBC;1;;;
@HackneyTerven;1;;;
@Hakimi09966557;6;;;
@Hakimi82421476;5;;;
@HalSparks;1;;;
@HaleyTessIsis;5;;;
@Hammer_doc;1;;;
@HannahBuehler;1;;;
@HanyaToderoff;2;;;
@HarlanDaniel54;1;;;
@Harmony47383691;1;;;
@HarrisSamaras;3;;;
@HarrisonKrank;1;;;
@HeatherEHeying;1;;;
@Heather_mom4nuk;1;;;
@HeavyCoach;1;;;
@HelenAnn_Texas;1;;;
@HelpingChads;1;;;
@HenricCont;3;;;
@HenrikWallin3;1;;;
@Herobrine_Iran;1;;;
@HgoKrger1;1;;;
@HiMay8TAte;1;;;
@HifiSean;1;;;
@Highway_30;1;;;
@HighwaysSEAST;2;;;
@HillbillySheila;1;;;
@Himansh09281429;1;;;
@HinodanIs;1;;;
@Hisinz;1;;;
@HistoryInPics;1;;;
@Hji45519156;1;;;
@HockeyDadCience;1;;;
@Hoffman8Russ;1;;;
@Homer4K;2;;;
@HonestFactCheck;1;;;
@HoneyBadgerBite;1;;;
@HoneycutRa;1;;;
@HouseDemocrats;3;;;
@HowThingsWork_;3;;;
@HubOtr;1;;;
@HuffPost;1;;;
@HuntersArtWork;2;;;
@I12XLR8;1;;;
@IAmJohnAles;1;;;
@IEA;1;;;
@IIIILamboIIII;1;;;
@IMattyfine;1;;;
@INArteCarloDoss;1;;;
@IPCC_CH;1;;;
@IainDale;1;;;
@IamAdamKuhn;1;;;
@IanDJbrown2;6;;;
@IanHugh07940666;1;;;
@IceAge2150;4;;;
@Ichimoku_KH;1;;;
@ImMeme0;1;;;
@ImSpeaking14;3;;;
@IndeedNoKira;1;;;
@Infernal_struct;1;;;
@InformaCosmos;1;;;
@IngersolRobert;7;;;
@IntelPointAlert;1;;;
@InternetH0F;1;;;
@Iowa_1776;1;;;
@IramiOF;1;;;
@IrineoFella;3;;;
@IronStache;1;;;
@IrshadIdris;1;;;
@IsabellaMDeLuca;2;;;
@ItsMeLoveElly;1;;;
@ItsTheAtmospher;1;;;
@Itsthestars;1;;;
@JAHarps;1;;;
@JAlan21813286;1;;;
@JBPritzker;1;;;
@JDCocchiarella;2;;;
@JFKairport;1;;;
@JJJungleJim;4;;;
@JJ_Johnson92;1;;;
@JLake33;2;;;
@JLopean;1;;;
@JQT_web3vc;1;;;
@JR4_Truth;6;;;
@JScib518;2;;;
@JSegor;1;;;
@JWildhardt;6;;;
@J_NodayzoffSpaz;1;;;
@JaapTitulaer;1;;;
@JackLynch000;1;;;
@JackPosobiec;1;;;
@JackWhoElse;1;;;
@Jack_Royston;1;;;
@JacksonLAeast;2;;;
@JadedJourney;3;;;
@JafSupO;1;;;
@JaggerAUS;1;;;
@Jagster20548365;1;;;
@Jaisans;3;;;
@Jakegsm;1;;;
@JamesBradleyCA;13;;;
@JamesCa70626795;2;;;
@JamesDe92627036;1;;;
@JamesWe70210481;1;;;
@Jamphin13;1;;;
@JanJekielek;1;;;
@JaneCaro;1;;;
@JanuaryJames;1;;;
@JasonIsbell;1;;;
@JasperBosZwolle;1;;;
@JayQueCee;1;;;
@JayStibbens;4;;;
@Jazzie654;1;;;
@Jbu_Show;3;;;
@JebraFaushay;2;;;
@JedediahBila;5;;;
@JeffBezos;1;;;
@JeffPoster71;4;;;
@Jeff_Jacoby;2;;;
@JenCages;1;;;
@JennaEllisEsq;1;;;
@Jennie_SC1;1;;;
@JennyinIdaho;1;;;
@JeppsI;2;;;
@JeremyDixonDJ;1;;;
@Jeremy_Hunt;1;;;
@JerryDunleavy;1;;;
@JessReyna2;1;;;
@JesseBWatters;31;;;
@JesseofLA;1;;;
@Jikkyleaks;1;;;
@JimBlack48;4;;;
@JimG747;1;;;
@JimboUSA1776;1;;;
@JniGoode;1;;;
@JoAmsel;1;;;
@JoJoFromJerz;9;;;
@Jo_HNGalt;3;;;
@JoeBiden;5;;;
@JoeMyGod;1;;;
@JoeTalkShow;8;;;
@JoelWBerry;1;;;
@JoeyFlex69.;1;;;
@JohanSt37105560;2;;;
@Johdirt;1;;;
@JohnBasham;1;;;
@JohnBoweActor;1;;;
@JohnCallahan42;1;;;
@JohnCena;16;;;
@JohnCha65272409;1;;;
@JohnClke;1;;;
@JohnCornyn;1;;;
@JohnDav71081644;1;;;
@JohnDublin10;2;;;
@JohnGib96895717;2;;;
@JohnKerry;1;;;
@JohnPisulaMBA;1;;;
@JohnRuddick2;1;;;
@JohnRustad4BC;1;;;
@JonErlichman;2;;;
@Jonatha88096553;3;;;
@JonathanBarkan;2;;;
@JonathanPieNews;1;;;
@Jonathan_Witt;1;;;
@Joneskeepup45;1;;;
@JordanBrace8;1;;;
@JosephPinion;1;;;
@JosephSciambra;1;;;
@JoshDenny;2;;;
@JoshGalambos;1;;;
@JoshGellers;1;;;
@JoshSehn;2;;;
@JudiciaryGOP;1;;;
@JuliaHB1;8;;;
@JulieMew2;1;;;
@JulieMu36442360;3;;;
@JulieTheCranky;1;;;
@JunkScience;14;;;
@JustCallMeFrank;1;;;
@JustStop_Oil;3;;;
@JustThi30117912;1;;;
@JustinDundon;3;;;
@JustinTrudeau;4;;;
@Justin_Ling;1;;;
@KDKA;1;;;
@KEEMSTAR;1;;;
@KGrumpallo;1;;;
@KHayhoe;13;;;
@KIRO7Seattle;1;;;
@KOB4;1;;;
@KSI;1;;;
@KSulza;1;;;
@KTLA;1;;;
@KWconditions;1;;;
@KaderAriz;1;;;
@KaiserNeko;1;;;
@KaleJPhoto;1;;;
@KaleidaHealth;1;;;
@KamKamCords;1;;;
@KamalaHarris;1;;;
@KarenDi95261360;1;;;
@KatiePavlich;31;;;
@KatySla23675833;1;;;
@Kaylan_TX;1;;;
@KeillerDon;6;;;
@Keir_Starmer;2;;;
@KeithOlbermann;1;;;
@KellDA;1;;;
@KenanGrace;1;;;
@Kenneth72712993;15;;;
@KennyXBT;1;;;
@KentuckyKavalry;1;;;
@KenyaRedCross;1;;;
@KenyanTraffic;1;;;
@KerriSue62;1;;;
@KevinMNelsonUSA;1;;;
@KezBenn;1;;;
@Khun_Roger;2;;;
@KhuramMalik;1;;;
@KimDriver11;3;;;
@Kingc_c;1;;;
@Kirky861;1;;;
@KnoxvilleMitch;1;;;
@Kootenaybob0;1;;;
@KreminLorie;1;;;
@Krensharpaw;3;;;
@Kreutzjr1;1;;;
@Krrrrock;1;;;
@KstoKris;1;;;
@Kwebbelkop;1;;;
@KySportsRadio;1;;;
@KylanSherwood;1;;;
@KyleForgeard;1;;;
@KyleSeraphin;1;;;
@LASERGIANT1;1;;;
@LBC;1;;;
@LDN_gov;1;;;
@LGAairport;1;;;
@LKTranslator;3;;;
@LMAO16640556;1;;;
@LPMisesCaucus;1;;;
@LVPXN;1;;;
@LacarpetronM;1;;;
@LaciMarieKnight;1;;;
@LadyHaywire;1;;;
@LadyOfTheOcean1;2;;;
@LakotaMan1;2;;;
@LamechLamarch25;2;;;
@LandonPeter27;1;;;
@LangmanVince;16;;;
@LaraFaye11;1;;;
@LarisVrahimis;1;;;
@LarsWienand;5;;;
@LarsonElaineM;1;;;
@LasVegasLocally;1;;;
@LaskarNasi;1;;;
@LauraKronen;1;;;
@Lauratobin1;1;;;
@LawrenceNjenga;1;;;
@LayahHeilpern;25;;;
@LeAidan098;1;;;
@LeftyUnwoke;1;;;
@Leighlines;7;;;
@LeskoBrandon20;1;;;
@LesterDent;4;;;
@LesterPaul58;1;;;
@LeverNews;2;;;
@LewisStanding1;1;;;
@Lex_491;2;;;
@LiamMaxwell09;1;;;
@LibanRabih;1;;;
@LiberTDayWalker;1;;;
@Liberal_Larry_A;2;;;
@LibertyTemen;5;;;
